"","X1","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTableService","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"25",134233,"-TBxFMtA4WupelY8CrDOqA","McHale's","1820 Gold Hill Rd","Fort Mill","SC","29708",35.06039,-80.99652,3.5,15,0,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}",NA,"u'loud'",NA,"True","2","True",NA,"{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","True",NA,"u'full_bar'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",170623,"TH_Vr8_LCnAXFDUqSkF-HA","Popo's Mexican Food","6542 W Indian School Rd","Phoenix","AZ","85033",33.49529,-112.20215,4,317,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","u'average'",NA,"True","2","False","False","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","True","'free'","u'full_bar'","'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'no'"
"27",54041.1,"vtj3lt38T9Icu_RXHAQ__w","China Wan Wan","771 E Horizon Dr, Unit 168","Henderson","NV","89015",36.01334,-114.96008,4,102,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","False","'average'","True","True","1","False","True","{'touristy': False","'hipster': False","'romantic': False","'divey': False","'intimate': False","'trendy': False","'upscale': False","'classy': False","'casual': True}","True","'no'","'none'","'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",14734,"iDv99zgwiLqqaoXV6BLbDw","Starving Artist","833 Runnymede Road","Toronto","ON","M6N 3V8",43.66983,-79.48301,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breakfast & Brunch, Restaurants","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0"
"29",27923.1,"GMcit-31kUNFVulQGwSEwA","The Good Egg - Thunderbird","13802 N Scottsdale Rd, Ste 171","Scottsdale","AZ","85254",33.61161,-111.92718,3.5,76,0,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","False","u'average'",NA,"True","2","True","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","False","u'free'","u'none'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",110598,"wbJQWVyJKTUh9ryZ4jUgwg","House of Taipei At Lake Norman","16500 Northcross Dr","Huntersville","NC","28078",35.44042,-80.87189,4,69,1,"True",TRUE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","u'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","True","u'no'","u'full_bar'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",23760,"n9je8Whvn5VWm7rOuCeuPw","Golden Hill Chinese Food","12 Castleridge Dr NE","Calgary","AB","T3J 1V4",51.10739,-113.95019,4.5,6,1,NA,NA,NA,NA,"True",NA,NA,"True","2",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese, Specialty Food, Food, Restaurants, Ethnic Food, Imported Food",NA,NA,NA,NA,NA,NA,NA
"32",11886,"tIby_wfzpZ5QH02IWFNogg","China Sea by CSU","1900 Euclid Ave","Cleveland","OH","44115",41.50126,-81.67741,3.5,38,1,"True",TRUE,NA,"{'garage': False","'street': True","'validated': False","'lot': False","'valet': False}","True","u'average'",NA,"True","1","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","False","u'free'","u'none'","'casual'","True","True","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",154115.1,"3-Lbz5-zbhRcTSQbff8mLQ","Front Row Bar & Grill","15119 Snow Rd","Brook Park","OH","44142",41.40379,-81.80347,3,10,1,"False",TRUE,NA,"{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True",NA,NA,"True","1","True","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': False}","True","u'free'","u'full_bar'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",43183.1,"zcDweMx_fdJ-YWuxUpg6-g","Canadiana Restaurant","5230 Dundas Street W","Etobicoke","ON","M9B 1A8",43.64064,-79.5382,3.5,17,1,"True",TRUE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': True}","{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}","True","u'average'",NA,"True","2","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","True","u'free'","u'full_bar'","u'casual'","True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",36124.1,"QOpqW59hjLgldkzBwIlOIg","Barbies","1175 chemin du Tremblay","Longueuil","QC","J4N 1A2",45.53657,-73.46533,3.5,3,1,NA,TRUE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}",NA,NA,NA,"True",NA,NA,NA,NA,"True",NA,NA,NA,"True","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",47499,"HZRT8xygRscGvDYYx2EkQQ","Ori'Zaba's Scratch Mexican Grill","3318 E Flamingo Rd","Las Vegas","NV","89121",36.1156,-115.10228,4,100,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'","False","True","1","True","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","False","u'free'","'beer_and_wine'","'casual'","True","False","True","False",NA,NA,NA,NA,NA,NA,NA,"True","False","'yes_free'"
"37",94280.1,"Yewxcf5-kbESoS5r1l-1AQ","Tacos Victor","4374 Rue Notre Dame Ouest","Montréal","QC","H4C 1R8",45.47499,-73.58662,4,39,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}",NA,NA,"u'very_loud'","False","True","1","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': False}","True","u'no'",NA,"u'casual'","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",347.1,"ecJri9ozyke4dOCWulZiRQ","Nishikawa Ramen","1909 E Ray Rd","Chandler","AZ","85225",33.32001,-111.80967,4,427,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'","True","True","2","False","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': True}","True","u'free'","u'full_bar'","'casual'","True","False","True","False",NA,NA,NA,NA,NA,NA,NA,"True",NA,NA
"39",179989.1,"fiUpPtW1a7saRB-FaFZE0Q","Rinaldi's Italian Deli","1041 N Dobson, Ste 105","Mesa","AZ","85201",33.43065,-111.84371,3.5,3,0,"True",NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"u'none'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delis, Restaurants",NA,NA,NA,NA,NA,NA,NA
"40",107654,"0W_pPAiTXgazY2mtX6o0_w","Portillo's Hot Dogs","10574 N 90th St","Scottsdale","AZ","85258",33.58173,-111.88861,4,741,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': True","'dinner': True","'brunch': False","'breakfast': False}","{'garage': False","'street': False","'validated': False","'lot': True","'valet': False}","True","'average'","False","True","1","True","True","{'romantic': False","'intimate': False","'touristy': False","'hipster': False","'divey': False","'classy': False","'trendy': False","'upscale': False","'casual': True}","False","u'no'","u'none'","u'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",149409.1,"5PyqkF8zZbfgFDyAcLUehQ","The EpiCentre","210 E Trade St","Charlotte","NC","28202",35.22621,-80.84265,3.5,101,1,"False",TRUE,NA,"{'garage': True","'street': False","'validated': False","'lot': False","'valet': False}","False","u'very_loud'",NA,"False","2","True","True","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': True","'trendy': True","'upscale': False","'casual': False}","True",NA,"u'full_bar'","u'dressy'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",33089.1,"XM5UHhW6PjkVq0X8kExz_w","Mr Sub","5253 Richmond Rd SW","Calgary","AB","T3E 7C4",51.01751,-114.16131,3,3,1,"True",FALSE,NA,"{'garage': False","'street': False","'validated': False","'lot': False","'valet': False}",NA,NA,NA,"True","1",NA,"False","{'romantic': False","'intimate': False","'classy': False","'hipster': False","'divey': False","'touristy': False","'trendy': False","'upscale': False","'casual': False}","True",NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",147279,"WyEOZy86iCOtcM7wdFXyfg","Captain D's","3623 N Sharon Amity Rd","Charlotte","NC","28205",35.20908,-80.75772,2.5,4,1,"True",FALSE,"{'dessert': False","'latenight': False","'lunch': False","'dinner': False","'brunch': False","'breakfast': False}",NA,NA,NA,NA,"True","2","False",NA,"{'touristy': False","'hipster': False","'romantic': False","'divey': False","'intimate': False","'trendy': False","'upscale': False","'classy': False","'casual': False}","False",NA,NA,"'casual'","True","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
